LULC,NAME,HABITAT,FP,PS,SC,MU,BUE,ONVA,MI,AQ,PO,SY,RC,OTCR,CF,CI,OPCR,CT,RVL,RLT,RMT,RHT,RRD,EGI
27,CE-FRF,0.8,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1679999999999999,0.2099999999999999,0.1049999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999,0.2005499999999999,0.2005499999999999,0.2099999999999999,0.1795499999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999
28,CE-SVF,0.8,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1679999999999999,0.2099999999999999,0.1049999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999,0.2005499999999999,0.2005499999999999,0.2099999999999999,0.1795499999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999
29,CE-MG,0.8,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1679999999999999,0.2099999999999999,0.1049999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999,0.2005499999999999,0.2005499999999999,0.2099999999999999,0.1795499999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999
30,CE-FLF,0.8,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1679999999999999,0.2099999999999999,0.1049999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999,0.2005499999999999,0.2005499999999999,0.2099999999999999,0.1795499999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999
31,CE-WS,0.8,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1679999999999999,0.2099999999999999,0.1049999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999,0.2005499999999999,0.2005499999999999,0.2099999999999999,0.1795499999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999
32,CE-WE,0.8,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1679999999999999,0.2099999999999999,0.1049999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999,0.2005499999999999,0.2005499999999999,0.2099999999999999,0.1795499999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999
33,CE-GR,0.8,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1679999999999999,0.2099999999999999,0.1049999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999,0.2005499999999999,0.2005499999999999,0.2099999999999999,0.1795499999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999
34,CE-SF,0.8,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1679999999999999,0.2099999999999999,0.1049999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999,0.2005499999999999,0.2005499999999999,0.2099999999999999,0.1795499999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999
35,CE-RO,0.8,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1679999999999999,0.2099999999999999,0.1049999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999,0.2005499999999999,0.2005499999999999,0.2099999999999999,0.1795499999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999
36,CE-HS,0.8,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1679999999999999,0.2099999999999999,0.1049999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999,0.2005499999999999,0.2005499999999999,0.2099999999999999,0.1795499999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999
37,CE-ONFF,0.8,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1679999999999999,0.2099999999999999,0.1049999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999,0.2005499999999999,0.2005499999999999,0.2099999999999999,0.1795499999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999
38,CE-BD,0.8,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1679999999999999,0.2099999999999999,0.1049999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999,0.2005499999999999,0.2005499999999999,0.2099999999999999,0.1795499999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999
39,CE-RLO,0.8,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1679999999999999,0.2099999999999999,0.1049999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999,0.2005499999999999,0.2005499999999999,0.2099999999999999,0.1795499999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.2099999999999999,0.1889999999999999
53,AM-FRF,1.0,0.01,0.01,0.01,0.008,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.00955,0.00955,0.01,0.00855,0.01,0.01,0.01,0.01,0.009
54,AM-SVF,1.0,0.01,0.01,0.01,0.008,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.00955,0.00955,0.01,0.00855,0.01,0.01,0.01,0.01,0.009
55,AM-MG,1.0,0.01,0.01,0.01,0.008,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.00955,0.00955,0.01,0.00855,0.01,0.01,0.01,0.01,0.009
56,AM-FLF,1.0,0.01,0.01,0.01,0.008,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.00955,0.00955,0.01,0.00855,0.01,0.01,0.01,0.01,0.009
57,AM-WS,1.0,0.01,0.01,0.01,0.008,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.00955,0.00955,0.01,0.00855,0.01,0.01,0.01,0.01,0.009
58,AM-WE,1.0,0.01,0.01,0.01,0.008,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.00955,0.00955,0.01,0.00855,0.01,0.01,0.01,0.01,0.009
59,AM-GR,1.0,0.01,0.01,0.01,0.008,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.00955,0.00955,0.01,0.00855,0.01,0.01,0.01,0.01,0.009
60,AM-SF,1.0,0.01,0.01,0.01,0.008,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.00955,0.00955,0.01,0.00855,0.01,0.01,0.01,0.01,0.009
61,AM-RO,1.0,0.01,0.01,0.01,0.008,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.00955,0.00955,0.01,0.00855,0.01,0.01,0.01,0.01,0.009
62,AM-HS,1.0,0.01,0.01,0.01,0.008,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.00955,0.00955,0.01,0.00855,0.01,0.01,0.01,0.01,0.009
63,AM-ONFF,1.0,0.01,0.01,0.01,0.008,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.00955,0.00955,0.01,0.00855,0.01,0.01,0.01,0.01,0.009
64,AM-BD,1.0,0.01,0.01,0.01,0.008,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.00955,0.00955,0.01,0.00855,0.01,0.01,0.01,0.01,0.009
65,AM-RLO,1.0,0.01,0.01,0.01,0.008,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.00955,0.00955,0.01,0.00855,0.01,0.01,0.01,0.01,0.009
66,PN-FRF,1.0,0.01,0.01,0.01,0.008,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.00955,0.00955,0.01,0.00855,0.01,0.01,0.01,0.01,0.009
67,PN-SVF,1.0,0.01,0.01,0.01,0.008,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.00955,0.00955,0.01,0.00855,0.01,0.01,0.01,0.01,0.009
68,PN-MG,1.0,0.01,0.01,0.01,0.008,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.00955,0.00955,0.01,0.00855,0.01,0.01,0.01,0.01,0.009
69,PN-FLF,1.0,0.01,0.01,0.01,0.008,0.01,0.005,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.00955,0.00955,0.01,0.00855,0.01,0.01,0.01,0.01,0.009
