LULC,NAME,HABITAT,FP,PS,SC,MU,BUE,ONVA,MI,AQ,PO,SY,RC,OTCR,CF,CI,OPCR,CT,RVL,RLT,RMT,RHT,RRD,EGI
0,NOBS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,PM-FRF,0.5145,0.24775,0.2204975,0.24775,0.0718475,0.34685,0.24775,0.4955,0.2204975,0.24775,0.2700475,0.24775,0.2204975,0.1213975,0.1213975,0.1709475,0.193245,0.14865,0.24775,0.2973,0.3195975,0.24775,0.1982
2,PM-SVF,0.5529999999999999,0.2285,0.203365,0.2285,0.066265,0.3199,0.2285,0.4570000000000001,0.203365,0.2285,0.249065,0.2285,0.203365,0.111965,0.111965,0.157665,0.17823,0.1371,0.2285,0.2742,0.294765,0.2285,0.1828
3,PM-MG,0.7,0.155,0.13795,0.155,0.04495,0.217,0.155,0.31,0.13795,0.155,0.16895,0.155,0.13795,0.07595,0.07595,0.10695,0.1209,0.093,0.155,0.186,0.19995,0.155,0.124
4,PM-FLF,0.60725,0.201375,0.17922375,0.201375,0.05839875,0.281925,0.201375,0.40275,0.17922375,0.201375,0.21949875,0.201375,0.17922375,0.09867375,0.09867375,0.13894875,0.1570725,0.120825,0.201375,0.24165,0.25977375,0.201375,0.1611
5,PM-WS,0.5215,0.24425,0.2173825,0.24425,0.0708325,0.34195,0.24425,0.4885,0.2173825,0.24425,0.2662325,0.24425,0.2173825,0.1196825,0.1196825,0.1685325,0.190515,0.14655,0.24425,0.2931,0.3150825,0.24425,0.1954
6,PM-WE,0.5599999999999999,0.225,0.20025,0.225,0.06525,0.315,0.225,0.45,0.20025,0.225,0.24525,0.225,0.20025,0.11025,0.11025,0.15525,0.1755,0.135,0.225,0.27,0.29025,0.225,0.18
7,PM-GR,0.4899999999999999,0.26,0.2314,0.26,0.0754,0.364,0.26,0.52,0.2314,0.26,0.2834,0.26,0.2314,0.1274,0.1274,0.1794,0.2028,0.156,0.26,0.312,0.3354,0.26,0.208
8,PM-SF,0.42,0.295,0.26255,0.295,0.08555,0.413,0.295,0.5900000000000001,0.26255,0.295,0.32155,0.295,0.26255,0.14455,0.14455,0.20355,0.2301,0.177,0.295,0.354,0.38055,0.295,0.236
9,PM-RO,0.4899999999999999,0.26,0.2314,0.26,0.0754,0.364,0.26,0.52,0.2314,0.26,0.2834,0.26,0.2314,0.1274,0.1274,0.1794,0.2028,0.156,0.26,0.312,0.3354,0.26,0.208
