Id_HQ,Name_HQ,Alias_HQ,Color_HQ,Id_PLANS3,Name_PLANS3,Alias_PLANS3,Color_PLANS3,Id_PLANS,Name_PLANS,Alias_PLANS,Color_PLANS,Id_MBC8,Name_MBC8,Alias_MBC8,Color_MBC8,Type_MBC8,Source_MBC8,Id_MBC7,Name_MBC7,Alias_MBC7,Color_MBC7,Type_MBC7,Source_MBC7
47,Citrus,Ci,#9932cc,5,Crops,C,goldenrod,21,Citrus,Ci,#9932cc,47,Citrus,Ci,#9932cc,Extensive use,Mapbiomas C8,47,Citrus,Ci,#d082de,Extensive use,Mapbiomas C7
35,Palm Oil,Po,#9065d0,5,Crops,C,goldenrod,22,Palm Oil,Po,#9065d0,35,Palm Oil,Po,#9065d0,Extensive use,Mapbiomas C8,9,Forest Plantation,Fp,#935132,Extensive use,Mapbiomas C7
48,Other Perennial Crops,Pc,#e6ccff,5,Crops,C,goldenrod,23,Other Perennial Crops,Pc,#e6ccff,48,Other Perennial Crops,Pc,#e6ccff,Extensive use,Mapbiomas C8,48,Other Perennial Crops,Pc,#cd49e4,Extensive use,Mapbiomas C7
9,Forest Plantation,Fp,#7a5900,3,Forest,F,darkgreen,24,Forest Plantation,Fp,#7a5900,9,Forest Plantation,Fp,#7a5900,Extensive use,Mapbiomas C8,9,Forest Plantation,Fp,#935132,Extensive use,Mapbiomas C7
21,Mosaic of Uses,Mu,#ffefc3,5,Crops,C,goldenrod,25,Mosaic of Uses,Mu,#ffefc3,21,Mosaic of Uses,Mu,#ffefc3,Extensive use,Mapbiomas C8,21,Mosaic of Uses,Mu,#fff3bf,Extensive use,Mapbiomas C7
24,Urban Area,Ur,#d4271e,2,Urban,U,grey,26,Urban Area,Ur,#d4271e,24,Urban Area,Ur,#d4271e,Intensive use,Mapbiomas C8,24,Urban Area,Ur,#af2a2a,Intensive use,Mapbiomas C7
30,Mining,Mi,#9c0027,6,Roads,R,black,27,Mining,Mi,#9c0027,30,Mining,Mi,#9c0027,Intensive use,Mapbiomas C8,30,Mining,Mi,#8a2be2,Intensive use,Mapbiomas C7
25,Other non Vegetated Areas,Nv,#db4d4f,2,Urban,U,grey,28,Other non Vegetated Areas,Nv,#db4d4f,25,Other non Vegetated Areas,Nv,#db4d4f,Intensive use,Mapbiomas C8,25,Other non Vegetated Areas,Nv,#ff99ff,Intensive use,Mapbiomas C7
31,Aquaculture,Aq,#091077,1,Water,W,blue,29,Aquaculture,Aq,#091077,31,Aquaculture,Aq,#091077,Intensive use,Mapbiomas C8,31,Aquaculture,Aq,#29eee4,Intensive use,Mapbiomas C7
100,Roads Very Low Traffic,Vl,#D2CFC0,6,Roads,R,black,30,Roads Very Low Traffic,Vl,#D2CFC0,100,Roads Very Low Traffic,Vl,#D2CFC0,Intensive use,OSM,100,Roads Very Low Traffic,Vl,#D2CFC0,Intensive use,OSM
101,Roads Low Traffic,Lt,#D4AD9B,6,Roads,R,black,31,Roads Low Traffic,Lt,#D4AD9B,101,Roads Low Traffic,Lt,#D4AD9B,Intensive use,OSM,101,Roads Low Traffic,Lt,#D4AD9B,Intensive use,OSM
102,Roads Moderate Traffic,Mt,#D47F58,6,Roads,R,black,32,Roads Moderate Traffic,Mt,#D47F58,102,Roads Moderate Traffic,Mt,#D47F58,Intensive use,OSM,102,Roads Moderate Traffic,Mt,#D47F58,Intensive use,OSM
103,Roads Heavy Traffic,Ht,#D44A0A,6,Roads,R,black,33,Roads Heavy Traffic,Ht,#D44A0A,103,Roads Heavy Traffic,Ht,#D44A0A,Intensive use,OSM,103,Roads Heavy Traffic,Ht,#D44A0A,Intensive use,OSM
104,Railways,Rr,#B5A295,6,Roads,R,black,34,Railways,Rr,#B5A295,104,Railways,Rr,#B5A295,Intensive use,OSM,104,Railways,Rr,#B5A295,Intensive use,OSM
105,Energy Infrastructure,Wf,#D4B40A,6,Roads,R,black,35,Wind farm,Wf,#D4B40A,105,Wind farm,Wf,#D4B40A,Intensive use,User,105,Wind farm,Wf,#D4B40A,Intensive use,User
27,Not Observed,No,#ffffff,4,Pasture,P,limegreen,255,Not Observed,No,#ffffff,27,Not Observed,No,#ffffff,Not Observed,Mapbiomas C8,27,Not Observed,No,#D5D5E5,Not Observed,Mapbiomas C7
0,No Data,Na,#ffffff,0,No Data,N,black,255,No Data,Na,#ffffff,0,No Data,Na,#ffffff,No Data,Mapbiomas C8,0,No Data,Na,#D5D5E5,No Data,Mapbiomas C7
